id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11300224,Comfortable room in Providencia,57718857,Catalina,,Providencia,-33.42702,-70.59712,Private room,15000,2,5,2019-08-31,0.10,1,363,0,
11301014,"Brizen Apartments, Pedro de Valdivia - Providencia",54511305,Iris,,Providencia,-33.42606,-70.61174,Entire home/apt,48892,1,41,2021-03-07,1.38,4,352,31,
11301163,"Brizen Apartments - Manuel Montt, Providencia",54511305,Iris,,Providencia,-33.42872,-70.61859,Entire home/apt,48153,1,12,2021-09-25,0.45,4,365,10,
11304715,lugar para disfrutar de la naturaleza,59098597,Alejandra,,Santiago,-33.4642,-70.65503,Private room,12000,2,0,,,1,0,0,
11316174,Habitación Independiente con baño.,59179098,Renzo,,Providencia,-33.43938,-70.6201,Private room,18000,1,12,2019-05-16,0.20,1,359,2,
11320375,Casa con una gran vista al cerro.,59207400,Maria Isabel,,Peñalolén,-33.51096,-70.55576,Private room,28227,1,0,,,1,365,0,
11320971,Santiago de Chile / Providencia,58345792,Santiago,,Providencia,-33.43237,-70.60979,Private room,40000,1,0,,,1,365,0,
11334054,Concept Apartment Santa Lucía + (Transfer Service),59198909,Juan Pablo,,Santiago,-33.44613,-70.64573,Entire home/apt,35000,3,276,2020-01-17,4.05,1,365,0,
11338851,Departamento amoblado 2 dormitorios,50892876,Arriendos,,Santiago,-33.44635,-70.63828,Entire home/apt,55000,1,5,2017-01-13,0.08,3,331,0,
11340418,DPTO SANTIAGO CENTRO,59137015,Edgardo,,Santiago,-33.44617,-70.64885,Entire home/apt,50000,2,0,,,1,365,0,
11354988,DEPARTAMENTO EXCELENTE UBICACION,59474208,Julio,,Santiago,-33.45094,-70.67439,Entire home/apt,16914,7,0,,,1,89,0,
11360235,Excelente habitación,58311553,Veronica,,La Reina,-33.44917,-70.55243,Private room,1612985,1,0,,,1,365,0,
11361373,Bedroom in neighborhood Bellas Artes,59517657,Cata,,Santiago,-33.43433,-70.64262,Private room,30000,1,0,,,1,363,0,
11378584,Hermoso Departamento full equipado,59659619,Vasily,,Providencia,-33.4343,-70.62803,Entire home/apt,56869,2,5,2016-11-10,0.09,5,298,0,
11396806,Bed and breakfast en preciosa casa en La Reina,58748511,Sonia,,La Reina,-33.44727,-70.54465,Private room,20000,2,7,2018-10-28,0.11,1,62,0,
11396884,Departamento 2 dormitorios,59323655,Carlos,,Estación Central,-33.45506,-70.69957,Shared room,36559,1,1,2016-11-16,0.02,1,179,0,
11399990,Hermoso y amplio departamento,59659619,Vasily,,Providencia,-33.43428,-70.62873,Entire home/apt,56869,2,0,,,5,298,0,
